Timestamp,Status,Response Time,Client IP,Method,Endpoint
2025/02/18 - 08:42:50,200,401.27µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:42:55,200,4.839912996s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:42:56,200,381.149µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:43:37,200,339.55µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:43:47,200,51.830837254s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:45:54,200,11.545471404s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:46:48,200,56.285450619s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:47:01,200,12.251882ms,172.16.21.191,POST,/api/show
2025/02/18 - 08:47:01,200,11.852322ms,172.16.21.191,POST,/api/show
2025/02/18 - 08:47:01,200,11.935812ms,172.16.21.191,POST,/api/show
2025/02/18 - 08:47:10,200,4.148415588s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:47:11,200,264.200019ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:47:20,200,2.930610358s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:47:20,200,217.512339ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:48:42,200,408.94µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:48:42,200,40.58µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:50:11,200,396.93µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:50:46,200,691.569µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:50:50,200,364.41µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:52:30,200,3.843651599s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:52:30,200,223.31813ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:53:38,200,7.631520629s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:53:38,200,226.003466ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:53:48,200,3.568499965s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:53:48,200,224.999228ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:56:04,200,11.959002ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:05,200,12.403682ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:05,200,12.354211ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:05,200,11.975772ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:06,200,12.399812ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:06,200,11.832832ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:07,200,12.393432ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:07,200,39.117992ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:07,200,11.806653ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:07,200,12.735571ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:08,200,12.499301ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:56:08,200,12.834281ms,172.16.21.175,POST,/api/show
2025/02/18 - 08:57:10,200,196.37316ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:58:16,200,18.411757084s,172.16.21.191,POST,/api/chat
2025/02/18 - 08:58:17,200,619.176725ms,172.16.21.191,POST,/api/chat
2025/02/18 - 08:58:32,200,362.72µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:00:00,200,13.014021ms,172.16.21.175,POST,/api/show
2025/02/18 - 09:00:00,200,12.555511ms,172.16.21.175,POST,/api/show
2025/02/18 - 09:00:00,200,18.055694ms,172.16.21.175,POST,/api/show
2025/02/18 - 09:01:24,200,382.059µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:01:25,200,367.15µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:05:31,404,268.499µs,10.61.247.93,POST,/api/show
2025/02/18 - 09:06:02,404,335.72µs,10.61.247.93,POST,/api/show
2025/02/18 - 09:06:21,404,393.06µs,10.61.247.93,POST,/api/chat
2025/02/18 - 09:06:33,200,11.743272ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:06:39,200,503.777435ms,10.61.247.93,POST,/api/chat
2025/02/18 - 09:06:39,200,401.699846ms,10.61.247.93,POST,/api/chat
2025/02/18 - 09:07:31,200,34.949924557s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:08:25,200,503.799µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:10:36,200,361.189µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:10:55,200,358.85µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:11:02,200,12.015943ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:11:08,200,10.021040227s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:11:20,200,10.054178988s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:11:31,200,5.1011179s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:12:00,200,16.828802164s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:13:16,200,12.140472ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:13:16,200,11.800983ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:14:49,200,428.389µs,10.61.247.93,GET,/api/tags
2025/02/18 - 09:15:44,499,3.387588203s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:15:44,200,139.202784ms,10.61.247.93,POST,/api/generate
2025/02/18 - 09:15:46,499,2.109502382s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:15:49,499,2.55054808s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:15:49,200,20.24941ms,10.61.247.93,POST,/api/generate
2025/02/18 - 09:15:56,200,12.465881ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:15:56,200,12.533791ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:15:56,200,27.45489ms,10.61.247.93,POST,/api/show
2025/02/18 - 09:16:04,200,11.865484281s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:16:20,200,1.801323697s,10.61.247.93,POST,/api/embed
2025/02/18 - 09:16:25,200,348.619µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:17:04,200,10.745824ms,10.61.247.93,POST,/api/embed
2025/02/18 - 09:17:18,200,13.758018983s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:17:38,200,34.433419ms,10.61.247.93,POST,/api/embed
2025/02/18 - 09:17:56,200,17.85920207s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:17:57,200,555.169579ms,10.61.247.93,POST,/api/chat
2025/02/18 - 09:18:54,200,14.182739ms,10.61.247.93,POST,/api/embed
2025/02/18 - 09:19:26,200,31.831783226s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:19:49,200,32.585317833s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:19:59,200,38.061351728s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:20:07,200,8.50344712s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:20:15,200,8.102330783s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:20:32,200,406.17µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:23:04,200,16.760655ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,16.768535ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,17.265804ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,17.474984ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,14.605589ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,18.768162ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,16.047806ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,16.284006ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,16.645825ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,21.315318ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,18.628382ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:04,200,19.130372ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:23:15,200,4.154535089s,172.16.34.69,POST,/api/chat
2025/02/18 - 09:25:20,200,12.826701ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:20,200,14.857998ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:20,200,19.208731ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:21,200,12.638661ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:21,200,13.31552ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:21,200,13.48685ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:28,200,407.919µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:25:40,200,13.386821ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:40,200,13.756089ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:40,200,14.796618ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:40,200,15.569787ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:40,200,16.215026ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:40,200,16.471116ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:59,200,12.577742ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:59,200,15.936217ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:25:59,200,18.758922ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:26:01,200,47.74µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:26:11,200,42.04µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:30:07,200,13.44116ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:30:07,200,13.55701ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:30:07,200,14.557469ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:31:03,200,376.58µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:31:31,200,13.59905ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:31:31,200,13.218421ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:31:31,200,23.082656ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:32:09,200,12.344692ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:32:09,200,12.456852ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:32:09,200,31.786233ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:32:09,200,16.652915ms,172.16.34.69,POST,/api/embed
2025/02/18 - 09:34:02,200,12.780951ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:34:02,200,13.100381ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:34:02,200,14.506229ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:35:27,499,3.038889548s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:31,200,2.637786361s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:32,200,1.448359549s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:35,200,901.459337ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:39,200,2.554822123s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:42,200,2.057485549s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:46,200,2.192726599s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:50,200,1.807260058s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:52,200,225.665217ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:35:56,200,2.944704408s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:03,200,235.467192ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:09,200,1.831110283s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:16,200,4.320381904s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:19,200,1.94780759s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:24,200,4.989259265s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:28,200,1.333560558s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:31,200,1.869592146s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:33,200,2.54353744s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:34,200,1.051020037s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:37,200,389.789µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:36:40,200,1.545192346s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:56,200,13.786306021s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:36:56,200,221.434153ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:01,200,20.277154446s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:37:02,200,208.697461ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:19,200,16.857918101s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:37:46,200,4.878435778s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:48,200,1.956659508s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:56,200,8.803505017s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:57,200,48.200788ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:37:58,200,46.298737731s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:38:17,200,347.09µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:38:17,200,40.2µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:39:00,200,398.63µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:39:24,200,34.253182377s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:39:33,200,9.170526424s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:40:03,200,2ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:40:35,200,1ms,192.168.0.1,POST,/api/chat
2025/02/18 - 09:41:21,200,35.243922303s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:41:53,200,444.579µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:41:53,200,42.24µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:42:01,200,5.763931ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:01,200,13.80565ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:01,200,15.406217ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:01,200,23.780755ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:01,200,14.758178ms,172.16.34.69,POST,/api/embed
2025/02/18 - 09:42:21,200,44.11µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:42:34,200,40.879µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:42:43,200,12.950181ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:43,200,12.980471ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:43,200,18.611872ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:42:46,200,537.389945ms,192.168.0.1,POST,/api/chat
2025/02/18 - 09:42:54,200,7.787170899s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:42:56,200,10.774880963s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:43:10,200,15.979430399s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:43:36,200,40.658492678s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:43:39,200,38.808489574s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:43:46,200,39.766745607s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:43:50,200,25.262832306s,172.16.34.69,POST,/api/chat
2025/02/18 - 09:44:41,200,13.133321ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:44:41,200,12.511681ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:44:41,200,12.009302ms,172.16.34.69,POST,/api/show
2025/02/18 - 09:44:47,200,1ms,192.168.0.1,POST,/api/chat
2025/02/18 - 09:44:49,499,56.952127423s,172.16.34.69,POST,/api/chat
2025/02/18 - 09:44:57,200,13.723575614s,172.16.34.69,POST,/api/embed
2025/02/18 - 09:45:24,200,1ms,192.168.0.1,POST,/api/chat
2025/02/18 - 09:45:33,200,1ms,192.168.0.1,POST,/api/chat
2025/02/18 - 09:46:31,200,40.894920629s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:46:35,200,29.257084972s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:46:39,200,397.809µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:46:45,200,1.589191341s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:46:50,200,241.488293ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:46:52,200,248.786012ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:46:58,200,1.232390748s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:00,200,1.334345028s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:02,200,1.93487149s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:03,200,1.273486588s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:09,200,3.074719555s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:11,200,352.35µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:47:12,200,2.755405416s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:13,200,1.199127847s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:16,200,2.442889709s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:19,200,3.556474403s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:21,200,1.630974839s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:21,200,51.814514ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:42,200,20.917799739s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:47:43,200,372.94µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:47:56,200,494.169µs,192.168.0.1,GET,/api/tags
2025/02/18 - 09:47:56,200,38.08µs,192.168.0.1,GET,/api/version
2025/02/18 - 09:48:20,200,17.952807223s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:48:24,200,16.587229511s,10.61.247.93,POST,/api/chat
2025/02/18 - 09:48:37,200,16.89196169s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:49:10,200,38.348820862s,10.61.60.189,POST,/api/chat
2025/02/18 - 09:49:20,200,42.967005096s,192.168.0.1,POST,/api/chat
2025/02/18 - 09:49:24,200,12.792147851s,10.61.60.189,POST,/api/chat
2025/02/18 - 09:50:18,200,2.992105858s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:51:53,200,51.077604527s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:52:21,200,1.120918ms,192.168.0.1,GET,/api/tags
2025/02/18 - 09:54:01,200,45.94142917s,10.61.247.93,POST,/api/generate
2025/02/18 - 09:55:42,200,1.750043033s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:55:45,200,1.720017357s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:55:47,200,1.609780091s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:55:58,200,9.147829198s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:08,200,1.866434451s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:10,200,2.790926944s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:16,200,2.596622762s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:29,200,4.367740723s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:33,200,395.956114ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:38,200,966.581291ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:45,200,62.889417ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:47,200,102.252479ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:54,200,6.77120681s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:56:57,200,280.486235ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:57:03,200,160.659073ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:57:08,200,3.164746102s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:57:10,200,342.197064ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:57:24,200,461.344667ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:02,200,652.965995ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:17,200,2.622363084s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:20,200,68.236459ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:20,200,456.713505ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:23,200,222.219981ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:31,200,3.214947437s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:38,200,4.901083975s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:47,200,8.634627346s,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:49,200,68.081269ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:49,200,546.391992ms,172.16.34.69,POST,/api/generate
2025/02/18 - 09:59:54,200,29.493183123s,192.168.0.1,POST,/api/chat
2025/02/18 - 10:00:05,200,47.710040916s,192.168.0.1,POST,/api/chat
2025/02/18 - 10:02:26,200,43.42µs,192.168.0.1,GET,/api/version
2025/02/18 - 10:03:33,200,384.26µs,192.168.0.1,GET,/api/tags
2025/02/18 - 10:04:55,200,45.14µs,192.168.0.1,GET,/api/version
2025/02/18 - 10:05:06,200,11.864173ms,172.16.34.69,POST,/api/show
2025/02/18 - 10:05:06,200,13.226521ms,172.16.34.69,POST,/api/show
2025/02/18 - 10:05:06,200,15.325717ms,172.16.34.69,POST,/api/show
2025/02/18 - 10:05:09,200,69.274408ms,172.16.34.69,POST,/api/embed
2025/02/18 - 10:05:34,200,7.114122154s,192.168.0.1,POST,/api/chat
2025/02/18 - 10:07:00,200,39.39µs,192.168.0.1,GET,/api/version
2025/02/18 - 10:07:10,200,44.81µs,192.168.0.1,GET,/api/version
2025/02/18 - 10:12:14,200,387.71µs,192.168.0.1,GET,/api/tags
2025/02/18 - 10:17:48,200,39.75805805s,192.168.0.1,POST,/api/chat
2025/02/18 - 10:18:06,200,435.469µs,192.168.0.1,GET,/api/tags
2025/02/18 - 10:18:51,200,682.626102ms,172.16.34.69,POST,/api/generate
2025/02/18 - 10:18:52,200,824.595951ms,172.16.34.69,POST,/api/generate
2025/02/18 - 10:18:54,200,1.70449149s,172.16.34.69,POST,/api/generate
2025/02/18 - 10:18:55,200,919.594261ms,172.16.34.69,POST,/api/generate
2025/02/18 - 10:18:57,200,735.027603ms,172.16.34.69,POST,/api/generate
2025/02/18 - 10:18:58,200,1.71143286s,172.16.34.69,POST,/api/generate
2025/02/18 - 10:19:10,200,11.968969697s,172.16.34.69,POST,/api/generate
2025/02/18 - 10:27:16,200,12.172892ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:16,200,12.722521ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:16,200,12.879701ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:16,200,13.332871ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:16,200,13.3605ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:16,200,12.891521ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,13.13746ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,16.394256ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,12.003452ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,11.963382ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,14.784108ms,172.16.21.165,POST,/api/show
2025/02/18 - 10:27:17,200,15.887007ms,172.16.21.165,POST,/api/show
